ZeroSignal,HighAmplitudeIndex,ClippingIndex,AvgSignalAmplitude,BackgroundNoise,Snr,AvgSnrOfActiveFrames,Activity,EventsPerSecond,HighFreqCover,MidFreqCover,LowFreqCover,AcousticComplexity,TemporalEntropy,EntropyOfAverageSpectrum,EntropyOfVarianceSpectrum,EntropyOfPeaksSpectrum,EntropyOfCoVSpectrum,ClusterCount,ThreeGramCount,Ndsi,SptDensity,RankOrder,FileName,ResultStartSeconds,SegmentDurationSeconds,ResultMinute
0,0,0,-34.3038687142594,-35.582016404259,17.2992689853117,8.80477172172485,0.0511247443762781,4,0.0483630057339909,0.00392958819519628,0.0133710869907189,0.40937957082179,0.103709500970537,0,0,1,-4.44089209850063E-16,0,0,0.298178222664602,4.67689161554192,19,botanic_gardens,19,1,0
0,0,0,-35.9198370135903,-36.5998513260316,8.51636797637895,6.97504747934063,0.016359918200409,1,0.0296774128874454,0.00252616383976904,0.0127418593676262,0.410086453691054,0.0307806510772595,0,0,1,-4.44089209850063E-16,0,0,0.178066916340616,3.91820040899796,20,botanic_gardens,20,1,0
0,0,0,-36.4442683289322,-35.6474669235787,6.08726325955724,6.08726325955724,0.00204498977505112,0,0.0339628694013393,0.0038493925177433,0.00739342457133869,0.409991134970254,0.0277880577127966,0,0,1,-4.44089209850063E-16,0,0,0.192938948137042,3.80777096114519,21,botanic_gardens,21,1,0
0,0,0,-36.0589415712254,-35.882016404259,6.20952820803238,6.11568920658355,0.00408997955010225,0,0.0317725249609046,0.00413007738882874,0.0167138587383986,0.411221247465139,0.0262615181688101,0,0,1,-4.44089209850063E-16,0,0,0.206503416956229,3.9038854805726,22,botanic_gardens,22,1,0
0,0,0,-35.0159219388893,-36.3474669235787,12.6104022950288,7.57623408141502,0.0572597137014315,4,0.0466889209671599,0.00497213200208509,0.0185622148812333,0.407815101699584,0.0533993288017072,0,0,1,-4.44089209850063E-16,0,0,0.112603374185844,5.19631901840491,23,botanic_gardens,23,1,0
0,0,0,-36.016379508681,-35.3194090996021,6.60876483010255,6.33281114990858,0.00408997955010225,0,0.0426440514856249,0.00481174064717912,0.0103036023281422,0.402601980179684,0.0302596360846927,0,0,1,-4.44089209850063E-16,0,0,0.117080281266517,3.77300613496933,24,botanic_gardens,24,1,0
0,0,0,-33.5545383363162,-36.182016404259,13.9494149923734,8.71948630846176,0.130879345603272,15,0.0598510365291311,0.00256626167849553,0.0260342929054586,0.417871397091529,0.0832348726449046,0,0,1,-4.44089209850063E-16,0,0,0.153416958504133,5.19018404907975,25,botanic_gardens,25,1,0
0,0,0,-31.7016514374829,-36.316130274316,20.9571864966555,9.97182851418713,0.229038854805726,18,0.075414010184851,0.00513252335699106,0.0233994022337581,0.403510837650756,0.15662515074005,0.32079191994183,0.338615948633299,0.992520461776952,0.0855259645668864,0,0,0.0388750750369546,6.85071574642127,26,botanic_gardens,26,1,0
0,0,0,-35.6221959153221,-34.8194090996021,6.78954252290488,6.48155043126703,0.00408997955010225,1,0.0402532178515578,0.00176430490396568,0.025011798017933,0.413648164671787,0.0347835133101186,0,0,1,-4.44089209850063E-16,0,0,-0.0947146429009143,4.40490797546012,27,botanic_gardens,27,1,0
0,0,0,-35.6104802039628,-34.6998513260316,7.06189587060199,6.90584513729623,0.00408997955010225,0,0.0512650868118208,0.0022053811299571,0.0192700959572125,0.408525254770185,0.0384008085452511,0,0,1,-4.44089209850063E-16,0,0,0.091282015810563,3.97137014314928,28,botanic_gardens,28,1,0
